TIC,sector,Pest,sde,phasebest1,nb,pphase1,pphase2
1451356,12,0.41682645013922004,9.110810490790834,15,1024,0.006105856203211231,0.19538739850275938
1451397,12,2.7841968984046552,8.394261205081195,607,1024,1.6503979661441657,2.0065794052955424
1451462,12,7.651694850409366,8.105145883768776,40,1024,0.29889433009411587,5.081203611599969
1451483,12,7.824113919098662,8.92374396781665,591,1024,4.515675123229794,4.66084911196307
1456458,12,7.816774798718048,9.241130320396612,788,1024,6.015252481825998,6.198458141170952
1456464,12,7.824113919098662,9.005218426463754,791,1024,6.043822373053751,6.204277834285267
1456522,12,0.3330624425467287,8.063942080703644,198,1024,0.06440074572680886,0.18181826697619272
1466866,12,0.3335323409634415,8.310736008590055,221,1024,0.07198305405558648,0.2683893056190193
1871109,12,0.3330025507995391,8.442491914839614,295,1024,0.0959333520369766,0.18601314361068005
1872461,12,0.37864875405627474,8.92376765879962,546,1024,0.20189669894016213,0.2802888238033752
2313106,12,9.907856930545922,8.66705920808698,794,1024,7.682459377786584,7.875972208461309
2313205,12,2.4736555681986836,9.357488852552025,106,1024,0.25606200217681685,0.40824979592341554
2318191,12,9.907856930545922,8.39948496454106,351,1024,3.3961501783414243,3.773500198157138
2322782,12,2.4743900628495075,8.125529513732346,927,1024,2.2399995979116145,2.399481769931212
2322808,12,0.3608349721254984,8.378642636534641,376,1024,0.13249409132733145,0.20614107294278963
2737920,12,0.33310571109741677,10.576584171879578,221,1024,0.0718909786645792,0.26804600189870254
2738191,12,0.35304999894085,8.784221864660678,661,1024,0.2278965325194354,0.3013336905022489
2739060,12,0.6948304613674263,8.257017235008089,311,1024,0.21102761082545857,0.32163050653140635
2743029,12,0.6948014952128176,8.371388798204745,413,1024,0.28022755617470085,0.42475169531564827
2743045,12,0.6948159779882297,8.326829705392873,363,1024,0.2463068359469994,0.3908339876183792
2743284,12,1.8994073848959123,8.072805494543491,111,1024,0.205892792698678,0.34686443454642146
2748216,12,0.3336391692384686,8.043762389556015,221,1024,0.07200610976728668,0.2684752689965802
2748235,12,0.6950188002585469,8.076957345398505,683,1024,0.46357210993807374,0.6081414502262286
2748245,12,0.6947870130411522,8.212644696282247,463,1024,0.3141468623418491,0.45866798907794815
2750883,12,0.6951057603414359,8.239767348633091,379,1024,0.2572705890326213,0.4018580176973926
2753090,12,0.35316969803990816,8.50863617302057,63,1024,0.02172821384425216,0.095190270174819
2753317,12,0.3333188895147877,8.631670617283817,396,1024,0.1289006643045468,0.26821754390643077
2753364,12,0.6949173743241928,8.359250294591797,9,1024,0.006107672235271226,0.15065591513669022
