row_id,tic_id,Disposition,RA,Dec,Epoc,Period,Duration,Transit_Depth,Sectors,SN,Qingress
0,2733170,J,0,0,0.17255970639789653,8.764241893076248,2.464943032427694,0,2,0,0
1,2733271,J,0,0,4.06919966678756,9.067005168192946,1.912571402665698,0,2,0,0
2,2733397,J,0,0,1.360123073924608,9.171787581399615,2.3646014858295814,0,2,0,0
3,2733490,J,0,0,2.111323851203501,8.752735229759299,2.461706783369795,0,2,0,0
4,2733884,J,0,0,4.498427874743326,8.213552361396303,2.5025667351129286,0,2,0,0
5,2733897,J,0,0,4.377475183134937,8.324315325064513,1.3657079830184031,0,2,0,0
6,2758451,J,0,0,-0.6699089248981467,0.9985620706183095,4.985009086914841,0,2,0,0
7,2758594,J,0,0,3.4187382508524955,8.743551630672378,2.664050887470488,0,2,0,0
8,2759034,J,0,0,4.799269213816316,8.014104824491104,2.629628145536145,0,2,0,0
9,2759088,J,0,0,3.743180818301804,8.798944126704795,2.47470303563572,0,2,0,0
10,2759404,J,0,0,1.5784617786812971,9.797198001371607,2.0665964534143164,0,2,0,0
11,2759832,J,0,0,1.4917468929479334,9.415309292910273,3.530740984841355,0,2,0,0
12,2760325,J,0,0,4.8406440714908445,8.718395815170007,2.0433740191804617,0,2,0,0
13,2760376,J,0,0,0.10848955198211363,8.599191675982457,2.4185226588700637,0,2,0,0
14,2760563,J,0,0,-0.5426155371821831,9.558401835213152,1.34415025807685,0,2,0,0
15,2760658,J,0,0,4.799269213816316,8.014104824491104,2.629628145536145,0,2,0,0
16,2761081,J,0,0,0.779746182061456,9.227646027498384,1.9464565839254426,0,2,0,0
17,2761086,J,0,0,5.0516821870007576,8.408307407718826,2.3648364584209176,0,2,0,0
18,2761416,J,0,0,6.4748375905957225,8.8386070355312,2.4858582287431545,0,2,0,0
19,2761505,J,0,0,-0.510174254405784,9.03750564844103,1.9063488477180304,0,2,0,0
20,2762160,J,0,0,2.4306404851252372,9.042408897730354,2.3312460439461056,0,2,0,0
21,2762267,J,0,0,4.25406040813268,9.991008092716553,214.72861924268153,0,2,0,0
22,2762586,J,0,0,7.044514215597577,9.047317470370036,1.9084185289061537,0,2,0,0
23,2762734,J,0,0,-0.8240580119876627,0.36805841823214175,1.8374166347682697,0,2,0,0
24,2762756,J,0,0,2.8207155567141173,9.067005168192946,2.337587269924743,0,2,0,0
25,2762800,J,0,0,6.305553203329139,9.677731539727088,1.814574663698835,0,2,0,0
26,2763146,J,0,0,5.4402961888980945,8.285004142502071,1.5534382767191204,0,2,0,0
27,2835809,J,0,0,3.8935251206669585,8.77577885037297,2.0568231680561695,0,2,0,0
28,2835989,J,0,0,1.0407551030719482,8.084074373484237,2.463116410670974,0,2,0,0
29,2836122,J,0,0,-0.04288132813705814,7.717240314863405,2.170473838555335,0,2,0,0
30,2836322,J,0,0,5.527029762488958,9.814505839630973,82.80989302188635,0,2,0,0
31,2836603,J,0,0,0.5994143197086133,1.6669722782510126,8.009280868159161,0,2,0,0
32,2836604,J,0,0,-0.2857003231859885,1.6680567139282734,8.170871559633024,0,2,0,0
33,2836704,J,0,0,6.75804606147128,8.397715821296607,2.3618575747396875,0,2,0,0
34,2836742,J,0,0,0.22423018221642277,9.320533134495292,1.9660499580576047,0,2,0,0
35,2836819,J,0,0,1.2270366134079271,9.482268158543523,2.444647259624503,0,2,0,0
36,4498281,J,0,0,1.484543967847832,9.655305590421936,1.5840735734286042,0,2,0,0
37,4498282,J,0,0,0.8756864516011911,7.261636772928618,2.893308401713748,0,2,0,0
38,4582465,J,0,0,6.1350535205735035,9.820288716488264,2.3016301679269375,0,2,0,0
39,4582581,J,0,0,0.7879370590336696,8.93096365097794,2.5118335268375453,0,2,0,0
40,4602562,J,0,0,2.281929403039662,8.12743823146944,2.4763288361508415,0,2,0,0
41,4610979,J,0,0,3.7344265217003834,8.911861687906603,2.5064610997237295,0,2,0,0
42,4611026,J,0,0,5.105283564256058,9.655305590421936,2.036666022979631,0,2,0,0
43,5610899,J,0,0,0.46326408990294565,8.513536523071684,2.3944321471139123,0,2,0,0
44,5610926,J,0,0,3.2487707665946504,7.449899426357743,3.1429263204946807,0,2,0,0
45,5611123,J,0,0,8.475566567826174,9.96710854181202,1.6352287451410206,0,2,0,0
46,5611253,J,0,0,-0.613064566157048,8.004482510205714,2.4388657648283036,0,2,0,0
47,5611510,J,0,0,2.3664449536361296,8.585901948999743,3.4209453078045797,0,2,0,0
48,5611535,J,0,0,3.2604969109907707,7.627183281214247,2.5026695141484296,0,2,0,0
49,5611540,J,0,0,6.476094431479073,7.651694850409366,1.9727025786211598,0,2,0,0
50,5611571,J,0,0,6.738599005181854,9.777082518576456,1.6040526007039517,0,2,0,0
51,5611729,J,0,0,2.3175407635108862,9.720062208398133,3.4172093701399646,0,2,0,0
52,5611781,J,0,0,8.368709986419633,9.700261907071491,2.728198661363848,0,2,0,0
53,5631575,J,0,0,-0.8662002498619432,0.41835402791258075,2.0885017487198367,0,2,0,0
54,5631616,J,0,0,-0.1521884841263086,8.511362669163333,1.9948506255851575,0,2,0,0
55,5632334,J,0,0,1.393460329929301,7.855459544383347,2.945797329143762,0,2,0,0
56,5632336,J,0,0,0.22398510398544969,7.907638779060571,2.409358690495015,0,2,0,0
57,5632648,J,0,0,-0.22674969944449064,8.291186468783682,3.303519608655998,0,2,0,0
58,5632793,J,0,0,2.106543758630893,9.863878477017161,2.080661866245805,0,2,0,0
59,5632954,J,0,0,1.3692787600716203,8.952551477170994,2.0982542524619596,0,2,0,0
60,5633248,J,0,0,1.7993484115391638,9.129085265656382,2.1396293591382154,0,2,0,0
61,5633398,J,0,0,-0.695626765364761,9.73994350832765,1.8262394078114355,0,2,0,0
62,5633697,J,0,0,-0.47807008664669204,8.097821685966474,2.2775123491780724,0,2,0,0
63,5634347,J,0,0,1.2302238559209941,8.81756458866061,2.4799400405607877,0,2,0,0
64,5634435,J,0,0,-0.8311683838462959,0.2797468850184353,1.3899923349353505,0,2,0,0
65,5634504,J,0,0,2.943364014251781,9.501187648456057,3.1175771971496324,0,2,0,0
66,5634734,J,0,0,6.755540733305157,8.4530853761623,2.1793110735418466,0,2,0,0
67,5639332,J,0,0,2.7801419846117232,7.932101213611484,1.859086221940192,0,2,0,0
68,5639749,J,0,0,4.6952336563365185,8.93096365097794,2.0931946056979456,0,2,0,0
69,5640171,J,0,0,3.008111628867872,9.181893306399779,2.152006243687442,0,2,0,0
70,5640269,J,0,0,3.9456687830555826,9.979044007584072,2.104954595349767,0,2,0,0
71,5640281,J,0,0,6.476094431479073,7.651694850409366,1.9727025786211598,0,2,0,0
72,5640292,J,0,0,4.362405199106373,7.838833581563063,2.388394606882507,0,2,0,0
73,5640827,J,0,0,6.263437749180473,8.859750155045628,1.8688535483299376,0,2,0,0
74,5641380,J,0,0,2.2193390856934707,9.106638739641198,2.9881158364447735,0,2,0,0
75,5641392,J,0,0,-0.9181270377270611,9.315323707498836,3.4932463903120636,0,2,0,0
76,5642279,J,0,0,1.3514961048158636,9.76848686138517,1.6026423756960035,0,2,0,0
77,5642454,J,0,0,1.9824636049434439,8.37871805613741,2.5528906577293675,0,2,0,0
78,5653389,J,0,0,3.163676360459311,9.98502246630055,3.2763354967548537,0,2,0,0
79,5653395,J,0,0,3.664250799311363,9.837678307919331,2.997417609444163,0,2,0,0
80,5653863,J,0,0,3.6579773411696133,9.714396735962696,1.8214493879930131,0,2,0,0
81,5653945,J,0,0,1.653255318028644,6.017571308220003,2.397626068118914,0,2,0,0
82,5654083,J,0,0,8.312035647510331,9.840582562487699,1.8451092304664485,0,2,0,0
83,5654178,J,0,0,3.947686005314438,8.857395925597874,2.9063330380868067,0,2,0,0
84,5654737,J,0,0,5.384237313966199,8.408307407718826,2.561906163289329,0,2,0,0
85,5654825,J,0,0,-0.5373803040732044,8.097821685966474,2.4673050449429095,0,2,0,0
86,5655273,J,0,0,2.979851896014356,9.444654325651682,1.9922317718171456,0,2,0,0
87,5655299,J,0,0,5.7968468265416515,9.015506671474936,2.1130093761269393,0,2,0,0
88,5655313,J,0,0,1.7559195217348247,9.901970492127932,1.8566194672739869,0,2,0,0
89,5655416,J,0,0,3.637307960893855,9.010632546404757,2.1118670030636153,0,2,0,0
90,5655564,J,0,0,3.3642937360222103,7.71188401326444,1.9882200971697372,0,2,0,0
91,5655566,J,0,0,5.7102757722979245,7.74233508826262,3.0848366367296407,0,2,0,0
92,5655640,J,0,0,0.5585734282691119,8.81756458866061,2.4799400405607983,0,2,0,0
93,5655834,J,0,0,-0.5567129657208487,0.4765626489258278,2.3790900989344057,0,2,0,0
94,5655856,J,0,0,-0.7952325872914577,9.116601331023794,2.991384811742183,0,2,0,0
95,5656153,J,0,0,-0.21059537356772884,7.848061528802385,1.471511536650448,0,2,0,0
96,5656273,J,0,0,-0.7524142455659604,0.43153670219652174,2.154312130496698,0,2,0,0
97,5656274,J,0,0,-0.6721474902863008,0.4312408091802543,2.1528349770795514,0,2,0,0
