row_id,tic_id,Disposition,RA,Dec,Epoc,Period,Duration,Transit_Depth,Sectors,SN,Qingress
0,3806642,J,0,0,4.7023840175320935,9.580379383023567,2.469941559685772,0,3,0,0
1,3810544,J,0,0,8.85654900455626,9.904912836767036,3.7143423137876397,0,3,0,0
2,3888459,J,0,0,5.244380057947846,9.991008092716553,2.3416425217304493,0,3,0,0
3,7219767,J,0,0,-0.6344683690707534,0.44165709742955567,2.20483504107411,0,3,0,0
4,7263693,J,0,0,-0.9186019336337059,0.3539346919706376,1.7669083450721672,0,3,0,0
5,7263849,J,0,0,1.7621136734869323,8.59697386519945,2.82088204951857,0,3,0,0
6,7316147,J,0,0,1.7502297596525924,8.599191675982457,3.4262404333992578,0,3,0,0
7,7317831,J,0,0,4.5706029374147334,8.526603001364256,2.7977916098226387,0,3,0,0
8,10836111,J,0,0,7.794408645072993,9.124087591240876,3.4215328467153086,0,3,0,0
9,10839598,J,0,0,-0.7632985630193906,9.893153937475267,2.550578749505342,0,3,0,0
10,10841735,J,0,0,4.837201082351944,8.472422265525713,2.581441159027378,0,3,0,0
11,10879811,J,0,0,3.81415101446364,8.035355564483728,5.08487344314986,0,3,0,0
12,10880506,J,0,0,7.783870977311562,9.493070058857034,2.4474321245491097,0,3,0,0
13,10881285,J,0,0,-0.9475646172140493,0.2760608327651081,1.3781474385695631,0,3,0,0
14,11488154,J,0,0,4.283203125,10.0,2.8125,0,3,0,0
15,24207856,J,0,0,1.7083157182717512,8.45522955948254,3.170711084805955,0,3,0,0
16,24249278,J,0,0,-0.8344648997481596,9.686168151879116,2.9512543587756683,0,3,0,0
17,24295675,J,0,0,1.6591804250230764,8.39137366786943,4.523474867835866,0,3,0,0
18,24926113,J,0,0,0.8192886359954641,8.099789405475457,4.556131540579942,0,3,0,0
19,24926126,J,0,0,1.187461818848253,8.145312372729494,4.96354972713203,0,3,0,0
20,24928145,J,0,0,5.857084781027796,8.080155138978668,2.651300904977383,0,3,0,0
21,24928150,J,0,0,-0.8904058116232465,8.016032064128256,4.509018036072144,0,3,0,0
22,28054347,J,0,0,-0.8469275116920065,0.3411234559899573,1.7029522529498649,0,3,0,0
23,28091547,J,0,0,2.0913624560652484,4.506128334534967,1.372960976928617,0,3,0,0
24,29855758,J,0,0,1.6912817218959733,8.389261744966444,2.9493498322147715,0,3,0,0
25,29855767,J,0,0,4.791366294885744,8.37030216790826,4.90447392650875,0,3,0,0
26,29920046,J,0,0,-0.805959087257969,8.45522955948254,2.972541642005581,0,3,0,0
27,29920976,J,0,0,7.5120344690966725,9.904912836767036,2.7857567353407404,0,3,0,0
28,29923043,J,0,0,-0.840359848418905,0.34818214104162165,1.7381905322312203,0,3,0,0
29,29924116,J,0,0,4.605077523112481,9.63020030816641,4.0627407550077095,0,3,0,0
30,31634279,J,0,0,2.1349041147400087,8.594757198109154,5.035990545767078,0,3,0,0
31,31634472,J,0,0,5.866924496791772,8.789663355893468,2.884108288652527,0,3,0,0
32,31637119,J,0,0,4.134494413670078,9.388789784996714,3.08069664820205,0,3,0,0
33,32257798,J,0,0,5.0791015625,10.0,168.515625,0,3,0,0
34,32258478,J,0,0,-0.8371401226781283,0.34138897518443534,1.7042777745535482,0,3,0,0
35,32264901,J,0,0,-0.7717681148655734,0.3177558808669651,1.586296936515553,0,3,0,0
36,32284522,J,0,0,8.4677734375,10.0,5.859375,0,3,0,0
37,32353178,J,0,0,-0.8811988097013831,0.24452747510710302,1.2207270046362408,0,3,0,0
38,32397954,J,0,0,3.819055239952519,8.478887569950823,4.371926403255891,0,3,0,0
39,32417972,J,0,0,-0.10717547173749686,8.349336227769893,4.500814060282208,0,3,0,0
40,32418630,J,0,0,1.7259814683084773,9.811616954474097,5.748994309262169,0,3,0,0
41,32451444,J,0,0,-0.7492349995720278,8.559445347941454,4.413464007532312,0,3,0,0
42,32532773,J,0,0,-0.5625076362303494,8.145312372729494,2.672680622301864,0,3,0,0
43,32534599,J,0,0,4.94541828149529,9.811616954474097,4.829155219780205,0,3,0,0
44,33445221,J,0,0,-0.7492349995720278,8.559445347941454,4.413464007532312,0,3,0,0
45,33465608,J,0,0,6.40904388309337,8.621432882145012,2.424777998103295,0,3,0,0
46,33595516,J,0,0,-0.4574071086953193,0.7658375199117755,1.4179960329616472,0,3,0,0
47,33715498,J,0,0,-0.7188975876701694,0.5209934302728443,2.600896890190215,0,3,0,0
48,37652737,J,0,0,1.6626074874161079,8.389261744966444,4.325713087248321,0,3,0,0
49,37652766,J,0,0,-0.6434148580454584,8.205464839583161,3.6539960613768763,0,3,0,0
50,37664812,J,0,0,5.689010494182114,6.764984440535787,1.7440975510756331,0,3,0,0
51,37716509,J,0,0,5.508379615143929,7.8222778473091354,2.5666849186483063,0,3,0,0
52,37748596,J,0,0,5.522450107403336,9.991008092716553,2.575806773903494,0,3,0,0
53,37750419,J,0,0,4.791366294885744,8.37030216790826,4.90447392650875,0,3,0,0
54,38313107,J,0,0,3.8154065075975767,9.93147283742179,3.0259956301519537,0,3,0,0
55,38382200,J,0,0,0.1402172046703296,9.811616954474097,2.7595172684458404,0,3,0,0
56,38424553,J,0,0,6.184431175099866,8.322237017310252,2.340629161118514,0,3,0,0
57,38510944,J,0,0,3.8944198197305857,9.904912836767036,3.25004952456419,0,3,0,0
58,38518177,J,0,0,3.6010797200409694,8.535336292249914,3.2007511095937105,0,3,0,0
59,38707887,J,0,0,6.800686743951613,8.064516129032258,7.371471774193537,0,3,0,0
60,40103428,J,0,0,-0.7172278628093082,0.30209563743689977,1.5081180650170234,0,3,0,0
61,40182160,J,0,0,1.242107780612245,9.811616954474097,2.7595172684458404,0,3,0,0
62,41255504,J,0,0,-0.565025059097933,0.4844092870948522,2.4182619879188327,0,3,0,0
63,43364911,J,0,0,0.9194973502189492,9.952229299363058,2.5658091162420398,0,3,0,0
64,43397905,J,0,0,-0.7853164369662636,8.45522955948254,3.963388856007441,0,3,0,0
65,43398819,J,0,0,1.6871854026845639,8.389261744966444,2.75272651006712,0,3,0,0
66,54002664,J,0,0,-0.858462593523488,0.3335657174498234,1.6652226050815404,0,3,0,0
67,55454393,J,0,0,5.067778882286113,8.738967054094205,6.96386437123131,0,3,0,0
68,62424740,J,0,0,5.961207336490569,8.165264962848044,4.975708336735522,0,3,0,0
69,66536072,J,0,0,-0.890406108490831,0.28091150164052314,1.4023628870960494,0,3,0,0
70,67654760,J,0,0,-0.7966802731374926,0.24537348297844147,1.2249504345564382,0,3,0,0
71,70502900,J,0,0,-0.7732900481809384,0.28467319517194256,1.4211419665224325,0,3,0,0
72,70552964,J,0,0,8.034134959446565,9.541984732824426,5.591006679389309,0,3,0,0
73,72637009,J,0,0,-0.719624337505598,0.2852505498204348,1.4240242291817014,0,3,0,0
74,75374616,J,0,0,-0.8383439616934644,0.2777446027280075,1.3409856600461612,0,3,0,0
75,75377150,J,0,0,1.2037811518838302,9.811616954474097,2.75951726844583,0,3,0,0
76,77068551,J,0,0,0.006591056734516876,8.661758336942398,4.872239064530096,0,3,0,0
77,77529164,J,0,0,5.177218455188678,9.433962264150942,86.01120283018867,0,3,0,0
78,79568918,J,0,0,-0.8049843317835432,0.3601371402229969,1.7978721297069924,0,3,0,0
79,92227214,J,0,0,4.837201082351944,8.472422265525713,2.581441159027378,0,3,0,0
80,92232007,J,0,0,6.218377438583814,7.225433526011559,1.354768786127167,0,3,0,0
81,92232267,J,0,0,6.244866206138459,8.621432882145012,1.4144538322269042,0,3,0,0
82,92232274,J,0,0,4.792376791141989,8.684324793747287,1.628310898827607,0,3,0,0
83,92984188,J,0,0,3.4322173867449663,8.389261744966444,2.359479865771796,0,3,0,0
84,92993227,J,0,0,-0.46002169679776905,9.616309260505817,2.929969227810366,0,3,0,0
85,97473807,J,0,0,4.931299814593811,8.524422470377631,4.59519648793794,0,3,0,0
86,98610723,J,0,0,4.837201082351944,8.472422265525713,2.581441159027378,0,3,0,0
87,98665973,J,0,0,-0.640260403351384,0.3320174375558204,1.657493301548198,0,3,0,0
88,98665974,J,0,0,-0.9307777296828,0.3320075166501769,1.6574437745270547,0,3,0,0
89,100897313,J,0,0,3.5516671166306697,8.639308855291576,2.6322894168466675,0,3,0,0
90,100906759,J,0,0,1.7537181911966986,8.59697386519945,3.2238651994497864,0,3,0,0
91,100907964,J,0,0,1.7537181911966986,8.59697386519945,3.2238651994497864,0,3,0,0
92,100918259,J,0,0,1.741832111531516,8.599191675982457,3.0231533235875823,0,3,0,0
93,101015146,J,0,0,-0.8747097274966643,0.35392341805080213,1.766852063550489,0,3,0,0
94,111242661,J,0,0,-0.782670332962424,8.559445347941454,2.808568004793289,0,3,0,0
95,111245172,J,0,0,3.609375,10.0,4.21875,0,3,0,0
96,111245667,J,0,0,2.3205714860769087,9.471490812653911,5.771689713960971,0,3,0,0
97,111363447,J,0,0,6.33482180873712,8.515711487694796,4.390913735842609,0,3,0,0
98,115350090,J,0,0,2.79700289904502,8.526603001364256,4.396529672578438,0,3,0,0
99,122612091,J,0,0,-0.8453025993663594,2.2155264090747964,3.375216013824885,0,3,0,0
100,122618066,J,0,0,-0.9023325150474826,0.2614679858598113,1.3052972106595266,0,3,0,0
101,122618067,J,0,0,-0.9133114477465205,0.2614700368411282,1.3053074495428199,0,3,0,0
102,123292147,J,0,0,4.963740458015268,8.577064928381509,4.020499185178835,0,3,0,0
103,129737672,J,0,0,4.40416600463047,9.079353550027237,1.4895814418013273,0,3,0,0
104,129765888,J,0,0,-0.9057866482228822,0.27603568589347227,1.3780219006713186,0,3,0,0
105,136845668,J,0,0,5.318359375,10.0,2.8125,0,3,0,0
106,136864464,J,0,0,-0.7754051136139838,0.43765016871414003,2.1848317016276217,0,3,0,0
107,138731745,J,0,0,1.7228507631309684,8.526603001364256,2.7977916098226387,0,3,0,0
108,138732336,J,0,0,7.329357926674561,8.457374830852503,4.162614174560204,0,3,0,0
109,138738860,J,0,0,7.821413954160246,9.63020030816641,2.2570781972265053,0,3,0,0
110,139370730,J,0,0,-0.9158852755303499,0.2765119674379507,1.3803995874441446,0,3,0,0
111,141807310,J,0,0,0.523954720996217,7.881462799495587,2.9555485498108425,0,3,0,0
112,141943618,J,0,0,-0.6704504984374904,0.31002176352779964,1.5476867726114376,0,3,0,0
113,141979627,J,0,0,-0.9469219319855681,0.24427838942372287,1.2194835222012415,0,3,0,0
114,142162720,J,0,0,1.7621136734869323,8.59697386519945,2.82088204951857,0,3,0,0
115,146246865,J,0,0,2.8323050825481886,8.643789437289307,2.431065779237617,0,3,0,0
116,146250677,J,0,0,1.569680325049445,8.599191675982457,12.092613294350329,0,3,0,0
117,146269125,J,0,0,1.7502297596525924,8.599191675982457,3.4262404333992578,0,3,0,0
118,146636926,J,0,0,2.8273762948703745,5.539552404165743,1.1684993352537099,0,3,0,0
119,146760769,J,0,0,-0.9058433180847185,0.3197891949626806,1.5964476217277572,0,3,0,0
120,150272867,J,0,0,-0.6020464478518335,0.3875458272940775,1.9347014346946518,0,3,0,0
121,152309950,J,0,0,1.761552720062074,8.621432882145012,3.2330373308043754,0,3,0,0
122,152310122,J,0,0,1.2151923385086532,7.121999857560002,2.5038280749234367,0,3,0,0
123,152356728,J,0,0,1.6953125,10.0,6.09375,0,3,0,0
124,158550931,J,0,0,5.3134765625,10.0,84.140625,0,3,0,0
125,158582688,J,0,0,1.3891308904462978,8.599191675982457,3.4262404333992578,0,3,0,0
126,159895672,J,0,0,-0.721248263504921,0.6911423200265397,1.1339053687935414,0,3,0,0
127,159895967,J,0,0,2.4567477049530315,8.539709649871904,5.003736122971823,0,3,0,0
128,159924817,J,0,0,1.8124865672283357,8.59697386519945,3.223865199449797,0,3,0,0
129,160221714,J,0,0,0.9221412309048176,8.393486654356218,2.9508351519221065,0,3,0,0
130,160226401,J,0,0,4.172403997656755,8.080155138978668,4.355708629605687,0,3,0,0
131,164771734,J,0,0,0.5340575265935517,8.24606250515379,4.058608889255382,0,3,0,0
132,166809902,J,0,0,-0.8951609799947494,0.3125332066532069,1.5602243675890564,0,3,0,0
133,167008960,J,0,0,1.425501323289902,8.143322475570033,5.344055374592834,0,3,0,0
134,167440207,J,0,0,6.780372497299991,8.307717869901138,3.504818476364548,0,3,0,0
135,167456368,J,0,0,1.6626074874161079,8.389261744966444,4.325713087248321,0,3,0,0
136,167797348,J,0,0,1.3992052456786173,8.002560819462229,6.75216069142126,0,3,0,0
137,178170697,J,0,0,1.4921905094375965,9.63020030816641,2.7084938366718063,0,3,0,0
138,178198052,J,0,0,1.7936008843079838,7.913270554720265,2.7820091793938424,0,3,0,0
139,184240593,J,0,0,7.0708310972589175,8.256274768824307,3.483115918097738,0,3,0,0
140,184398112,J,0,0,6.326505684237418,8.515711487694796,3.9917397598569195,0,3,0,0
141,197831152,J,0,0,5.08072351280938,8.684324793747287,4.884932696482842,0,3,0,0
142,197843896,J,0,0,5.0722427268779855,8.684324793747287,4.47785497177594,0,3,0,0
143,197879320,J,0,0,5.312618512442475,8.522243054371911,4.194541503323684,0,3,0,0
