TIC,sector,Pest,sde,phasebest1,nb,pphase1,pphase2
1157551,13,0.5372156114856698,10.696055110252301,759,1024,0.39819008702892905,0.5094105065943216
1158116,13,0.23439459392308576,8.586393707769039,299,1024,0.06844139021777602,0.11719729696154288
1158832,13,0.27905600933163294,8.09143271716997,688,1024,0.1874907562696909,0.24553658633574343
1159578,13,7.621951219512194,8.518979341959898,966,1024,7.1902391387195115,7.27955887957317
1159914,13,0.3139875158563695,10.267070729640217,438,1024,0.1343032538526268,0.19961511017821928
1160351,13,3.145445395067942,13.07795125605917,901,1024,2.7676233407775546,2.9304247137644692
1160438,13,3.1448518774765706,10.971224265951653,1004,1024,3.0834289892446063,3.2615553651173026
1161065,13,7.078142695356737,8.885528819227966,789,1024,5.453764244762174,5.550535726925254
1161112,13,7.060152499293984,8.081929084832263,373,1024,2.5717157053092343,2.6958199484608865
1247726,13,0.5352316214841972,8.212669108669898,995,1024,0.5200736947038831,0.6303606792089276
1248618,13,6.955554009876886,8.186750792298705,13,1024,0.08830293176601516,0.15622826389371913
1248619,13,6.955554009876886,9.77857979061018,13,1024,0.08830293176601516,0.15622826389371913
1394560,13,7.5494488902310115,10.323354475675197,139,1024,1.024778706779405,1.1353663370073983
1394568,13,7.559721802237677,8.041820291846108,862,1024,6.363750188993045,6.474488301330511
1395349,13,4.051043143609479,9.57436091876998,719,1024,2.8444336135304837,2.982897002228073
1478819,13,0.5273566249176005,8.010061701132578,52,1024,0.0267798286090969,0.13595912986156888
1479206,13,2.3425787106446774,9.452657455904156,626,1024,1.4320842508433282,1.5716323966922787
1479348,13,1.0724895700389314,9.248018322128019,327,1024,0.3424844623073541,0.45664594974313877
1479388,13,1.0725931010811738,9.011150969335743,172,1024,0.1801621224472284,0.2974769928779818
1479400,13,1.0720756456575575,8.551645058299009,946,1024,0.9904136335859858,1.084639032130107
1480012,13,0.29961918401711424,8.150949687142342,771,1024,0.22559217859101083,0.28791530964144574
1480741,13,2.314279102059708,9.046603239202542,934,1024,2.1108756653552416,2.325579292987734
1480753,13,2.3113905325443787,8.985813996449506,824,1024,1.8599470691568047,2.1127554086538463
1480774,13,2.3115508194447654,8.909018645777456,774,1024,1.7472073576662581,1.9955184808488013
1480803,13,2.311711128577373,8.93931540086733,730,1024,1.6479971912709788,1.853432457580101
1480911,13,0.3281345876824838,8.907830643030254,223,1024,0.07145899712225966,0.13971355491168255
1640435,13,0.600034802018517,8.42676854416216,987,1024,0.5783538570237073,0.7031657836154496
1640574,13,0.317208564631245,10.291091675138015,322,1024,0.09974722442505947,0.16510953608247422
1641500,13,0.23021158747004375,8.60550434825083,761,1024,0.1710849785788118,0.218970787300608
1641526,13,0.23021158747004375,8.809493502914515,766,1024,0.1722090585957554,0.2200948673175516
1641595,13,0.5699044840084801,9.566320347797337,204,1024,0.1135356589235644,0.2320802439761096
1641635,13,0.5694663530805282,8.260864032181006,463,1024,0.25748332175418415,0.37593677215081744
1641642,13,0.5699337167087467,8.518385081755495,44,1024,0.02448933938982896,0.14304000507241008
1641654,13,0.35106072999568194,9.133327270367714,981,1024,0.3363189219978164,0.4083137982664621
1643233,13,0.3492400536432722,10.341995018096874,273,1024,0.09310794398888018,0.1657526035845999
1643282,13,0.5499703016037134,9.79973430370586,731,1024,0.3926057524143696,0.5070038717909233
1643283,13,0.5499249352463388,8.77228105644331,1001,1024,0.5375731056460792,0.6498136441875683
1643287,13,0.5500519799121016,9.547471438542534,278,1024,0.14933051798394947,0.2637456270867597
1643288,13,0.3490608517782905,9.253186086995514,469,1024,0.15987259715236157,0.23213910162208576
1643300,13,0.5500519799121016,9.904776434577379,270,1024,0.14503323689088618,0.25944834599369637
1714224,13,9.394081728511038,8.087902376522804,131,1024,1.2017819398778768,1.2843471113198686
1775609,13,3.4826217176290313,8.880161992975287,729,1024,2.4793273751480114,2.7071942258131925
1776640,13,0.3401244855617156,8.02667280044879,300,1024,0.09964584537940886,0.1674050202374069
1848431,13,0.2480577081452229,10.81574882994602,179,1024,0.04336165015429189,0.09229490898762688
1848442,13,0.24800787673016497,10.117713226186918,542,1024,0.13126979412866155,0.1816463940894763
1848644,13,0.3494304284017052,9.058129014879443,46,1024,0.01569707002585785,0.08838132905863441
1848647,13,0.3494304284017052,9.097820943034003,46,1024,0.01569707002585785,0.08838132905863441
1848694,13,0.34934985991070616,8.504844534915085,148,1024,0.05049197194021925,0.12281831012485764
1849591,13,0.24002169796149572,8.17243303176946,959,1024,0.22478594564948673,0.26768044831252746
1850386,13,0.5563406139775016,8.459129689770817,980,1024,0.5324353532206558,0.6481585473390228
1851041,13,0.26974099469689206,9.294121606249746,522,1024,0.13750468674978286,0.19361292099825747
1851044,13,0.26974099469689206,9.220759524377792,522,1024,0.13750468674978286,0.19361292099825747
2027745,13,0.4781006019286578,9.856493370780786,652,1024,0.30441561763426256,0.40293048775823403
2027771,13,0.4770059291836997,8.60557273528889,673,1024,0.3135009671295214,0.4127219270085527
2028177,13,0.4988277547762757,8.53205147490661,571,1024,0.27815492966528654,0.38094072679203866
2028232,13,0.5455150480326,10.078807200674609,926,1024,0.49330755320135505,0.6051807564111656
2028279,13,0.5458634468001484,10.19472188720378,982,1024,0.5234745163649861,0.6370183778575951
2029499,13,3.2637075718015667,9.887814521623813,638,1024,2.0334428035248044,2.154556951697128
2029507,13,3.2637075718015667,11.948510474108451,638,1024,2.0334428035248044,2.154556951697128
2032076,13,0.9322618537094698,8.52518280535431,770,1024,0.7010172142151286,0.756552344172431
2033331,13,0.5231520960088726,10.448873753986913,886,1024,0.45264917682017686,0.5614688999157724
2033370,13,0.5231520960088726,10.142811522275949,886,1024,0.45264917682017686,0.5614688999157724
2033373,13,0.5231520960088726,10.141757932526186,886,1024,0.45264917682017686,0.5614688999157724
2033792,13,0.35648590454733414,8.19877056931076,526,1024,0.18311678299990017,0.25726863619187496
2034067,13,0.5812635507065258,9.239482680770116,353,1024,0.2003769857416051,0.32128434541005235
