TIC,sector,Pest,sde,phasebest1,nb,pphase1,pphase2
1670369,10,5.075626839914729,8.16983078324046,587,1024,2.9095634326464315,2.964086767840828
1727163,10,0.31598172361710597,8.035299655820053,654,1024,0.20180863988826886,0.26753530700784267
1727168,10,0.31598172361710597,8.016224357547305,654,1024,0.20180863988826886,0.26753530700784267
1728785,10,0.24246597596192318,8.206895844460053,504,1024,0.11933872254375906,0.16977353980927629
1736651,10,9.10912734560029,8.672672826439184,235,1024,2.090473560757879,2.188325514665695
2490896,10,0.31245703715739087,8.61201935589576,353,1024,0.10771224034820212,0.1699595407194011
5820375,10,8.258320257659593,10.639547914372512,198,1024,1.5968236435708978,1.7177951317202083
5969274,10,1.0573842428600129,8.390195352616052,356,1024,0.36760624068180137,0.45021438465523983
5969276,10,1.0573842428600129,8.00765287413594,351,1024,0.36244323168346143,0.45124698645490785
9257554,10,0.2790770364251348,8.264949315500079,141,1024,0.03842759974213282,0.09484258659760442
9350440,10,0.3153390367653783,8.778277293894076,787,1024,0.2423552948577663,0.30794827809118974
9354375,10,0.3146009444320352,8.058181892691918,294,1024,0.09032488053029135,0.14009573306739068
9521702,10,8.798944126704795,8.45646077830909,343,1024,2.947302573691157,3.059007919049714
9563684,10,3.9181882297625577,9.495615663755558,710,1024,2.7167125421205234,2.7779342332105634
9587094,10,9.544716999140975,9.157972517686886,591,1024,5.5087185024339025,5.62989166746206
15373544,10,0.3717527398176924,8.654635942887388,100,1024,0.03630397849782153,0.11363145269818137
15445603,10,1.6810960746406658,9.302997927511356,541,1024,0.8881572034966799,0.9915840127763302
15447429,10,1.0404852823356814,8.17608496517934,844,1024,0.8575874788001124,0.9246500067631543
15450096,10,1.6165273758911107,8.020130317736749,595,1024,0.9392908092336044,1.0371664901957616
15450129,10,1.6184110440369646,8.271681796587009,206,1024,0.3255787842496237,0.41724659729077995
15451439,10,0.26218367539563514,8.244211333027048,104,1024,0.026628029532369195,0.08116428232462533
15527953,10,0.25131942699170645,8.615238797543133,623,1024,0.15290234669514954,0.20419703443076148
15527954,10,0.251281535832747,8.626477783755126,567,1024,0.13913733478239018,0.1909150731229269
15529202,10,0.20833029518319526,8.328149141304579,591,1024,0.12023750434889492,0.16316493821965097
15529268,10,0.20832899314597614,8.369633192252651,642,1024,0.1306125132809733,0.1729293400137497
15529491,10,0.3144050983930755,8.191278268843185,679,1024,0.2084775994227522,0.2671215191425544
15633617,10,0.34726442449603245,8.626270553646027,706,1024,0.23942254267011612,0.3092823780667789
15634551,10,0.8057108787082843,8.33542223109977,833,1024,0.6554269159804695,0.7522066406690623
20542796,10,0.7553041232052086,8.978088745523642,815,1024,0.601145371496333,0.6483518791966585
20544372,10,0.5570751327231503,8.116910788182638,855,1024,0.46513597507645854,0.549458871142951
20546591,10,0.3609600092405762,8.018044438022402,322,1024,0.11350500290572806,0.1646175042142081
20547974,10,8.087997411840828,9.685014460319687,335,1024,2.645975715787771,2.764452240375283
20579826,10,0.3610538439597497,8.099761911223677,183,1024,0.06452427094202558,0.1145922844598815
20579827,10,0.36105775479845753,8.817154969774728,119,1024,0.041958860176773874,0.34201759976025764
20936604,10,0.30483901451643386,8.19763951756204,873,1024,0.2598871676492644,0.3224029811731425
21014424,10,0.2606032966317024,8.029968881357133,420,1024,0.10688807088409669,0.15855063847807674
21109388,10,7.438262421898244,8.078209942404298,381,1024,2.7675566237726867,2.970946611871467
21164374,10,2.404944566027753,9.697319822989062,573,1024,1.3457355823573267,1.4913474603785384
21169937,10,2.041941477957242,8.067882726081352,63,1024,0.12562725889776,0.1774734292365181
21617461,10,4.3979241797871405,10.343701217561753,819,1024,3.517480374263348,3.680684591872636
21617495,10,4.388081969371187,8.355801047297076,193,1024,0.8270506055553117,0.9256110404142348
21637694,10,1.0111939166573973,8.733600514417686,915,1024,0.9035570642007017,0.9657691899325533
21707252,10,7.939658594680428,10.7082216899652,763,1024,5.915976081778483,6.016772528781262
21710948,10,0.3165458516666139,8.591287805199451,491,1024,0.15178126285967522,0.21762527302079707
21730203,10,8.20950660865282,8.481898112073877,217,1024,1.7397098965602167,1.8439321484278794
21733122,10,6.9381808089918815,9.422168281906,295,1024,1.9987923229029345,2.1072013980434328
21733196,10,7.505253677574302,10.374916461235285,243,1024,1.7810318785649955,1.9642656109276495
21954629,10,0.28516513913207137,8.924424408332516,430,1024,0.11974707990897528,0.17572187772689163
21954967,10,0.5260416940646715,8.0958710366301,64,1024,0.03287760587904197,0.14229838794522853
21987886,10,0.32198860160350323,8.609135514449722,61,1024,0.01918096161895869,0.08552822230093055
21988849,10,7.4217010538815495,8.918338498764745,630,1024,4.566085609321656,4.689297443223987
22026768,10,4.315925766076823,8.379162890554632,958,1024,4.037750863185153,4.122046288303841
22029282,10,0.3124043261751088,8.210413875418931,605,1024,0.18457482161712974,0.2492522797705702
22030180,10,0.34713061830905734,8.336427087653924,861,1024,0.2918744749649398,0.3640803555311793
22035050,10,8.652764558276369,8.477967664599033,374,1024,3.1602870554642206,3.2616866401315217
22140826,10,0.27461889762482117,8.87961287551976,690,1024,0.18504593687610021,0.2421688130422007
22210250,10,0.3326536111212755,8.615762311332459,887,1024,0.28814819635212047,0.34239932238459414
22216767,10,2.1339706792428674,9.483912858124944,923,1024,1.923491149356608,2.015185201980325
22319241,10,0.36490756891279436,8.610632820411752,190,1024,0.06770745907561614,0.1371966933900643
22325648,10,2.4344523699393825,8.247555571748933,291,1024,0.6918219137230082,0.794049894101322
22325660,10,2.4344523699393825,8.23058141083713,291,1024,0.6918219137230082,0.794049894101322
22385189,10,0.3042158228733793,8.379112769353014,766,1024,0.2275676956259849,0.2854994197083179
22385230,10,0.3045048446720787,8.088980501670562,579,1024,0.1721760791651695,0.2355154658010609
22387856,10,7.505253677574302,8.713473210784237,243,1024,1.7810318785649955,1.9642656109276495
22390611,10,1.4424810674359898,8.70387456249358,908,1024,1.2790750090155065,1.36641272989542
22396286,10,0.33243465165835023,8.777749592616404,52,1024,0.016881447154525598,0.08603045184517853
22444212,10,0.3261089334281223,8.453593974105111,845,1024,0.2691035632292611,0.3369367691083529
22454322,10,0.2929621697950143,8.028446560280521,983,1024,0.28123223916845613,0.3421706592527706
22457433,10,0.3606709923141011,8.616819202599686,743,1024,0.26169780008728233,0.33601574869887935
22615162,10,9.525623928367308,8.743342461335764,775,1024,7.209334516098305,7.348870022861497
22652353,10,0.2801041987619394,8.376963859700718,873,1024,0.2387997710148175,0.2970636326713537
22652374,10,0.2802125131699881,8.292699888461364,697,1024,0.19073058757761885,0.2490169794772355
22653280,10,0.5283932090904767,8.279623378442817,716,1024,0.3694624391687318,0.4793723547314969
22654150,10,0.3100823268577807,8.587970541263875,133,1024,0.04027436471883285,0.1047739112234298
22721934,10,0.5185296573037494,8.09150095716282,143,1024,0.07241185643987907,0.17064892042125349
22905846,10,8.655011251514626,8.46174188191629,351,1024,2.9667079582828455,3.1357511467889907
22906205,10,0.2838586610954673,8.16554489537766,647,1024,0.17935210325074938,0.23756530523321825
22908469,10,0.34880881788691614,8.493682476203087,71,1024,0.0241849863964561,0.0967399455858244
23166665,10,0.8597195594796977,8.115799202057422,637,1024,0.5348060150278979,0.6187630032583371
23166670,10,0.8593870851308846,8.144469548205134,343,1024,0.2878611037108334,0.37262486894346947
23226650,10,0.3592909034729058,8.671645725278708,58,1024,0.020350461329520057,0.08806837575361266
23226657,10,0.3591786303082112,8.650063855061601,536,1024,0.18800756430195428,0.25675659900938536
23226667,10,0.3592134661944207,8.517140806990223,4,1024,0.0014031776023219558,0.06875570251377583
23328243,10,2.191780821917808,9.66913902912788,103,1024,0.22046232876712327,0.2889554794520548
23328912,10,2.564825976557491,8.353516523713896,1014,1024,2.5397788478801715,2.6099108081766653
23328920,10,2.564825976557491,8.939761538755528,1015,1024,2.5422835607479035,2.6049013824412017
23350656,10,7.554581853894386,9.408861910268321,890,1024,6.5659939941074255,6.706166899599606
23433483,10,0.34320623262518446,8.621030999852438,915,1024,0.306673537941449,0.370354381885575
23433493,10,0.3432592465459538,8.645779606326055,3,1024,0.001005642323865099,0.06268503818759118
23433496,10,0.3432945982594963,8.138145086908168,540,1024,0.18103426080090626,0.2397027712456444
23474155,10,7.554581853894386,9.014240672874713,890,1024,6.5659939941074255,6.706166899599606
23498490,10,7.609770945894529,8.918321502909986,343,1024,2.548976010197093,2.8462326877710984
23557910,10,2.3296447291788,9.220240980759726,828,1024,1.8837361677344204,2.042989225393127
23559387,10,7.79483981604178,8.631241843016891,423,1024,3.219938713071946,3.5320367916439315
23581180,10,7.609770945894529,8.58235948172936,364,1024,2.705035765923446,2.8462326877710984
25077888,10,1.657028285472833,8.092755111438972,328,1024,0.5307668726905168,0.6003491151468956
25196175,10,1.1937020280997457,8.67561229967891,570,1024,0.66446304298521,0.7145892023683048
25424332,10,0.5394063293938691,8.129780060793061,523,1024,0.27549756862597025,0.3197457440840611
25424333,10,0.5394063293938691,8.128800635868563,523,1024,0.27549756862597025,0.3218528000582559
25424615,10,2.260602224432589,8.105384775847323,15,1024,0.03311429039696175,0.1545333551858215
25484332,10,0.5394063293938691,9.242037352376448,523,1024,0.27549756862597025,0.3218528000582559
25964393,10,2.5384576331421025,8.593861944271664,631,1024,1.564225357922526,1.6361152713611207
29759456,10,1.6085704634291507,8.250442462630684,951,1024,1.493896983126096,1.5771530715653002
