tic_id,mass,rad,Tmag,logg,Teff,Epoc,Period,Duration,sector,score
299832345,1.04,1.19283,13.0473,4.30194,5778.0,0.09016672993050312,1.0190148164754316,5.087113029123445,1,0.289
33837443,1.06,1.02054,13.1712,4.44571,5860.0,0.008627602468204598,1.0190771237567258,5.087424078754279,1,0.283
206604514,1.02,1.77171,11.6591,3.94988,5710.3,-0.08530453874690003,1.0247791600910003,1.0087669857145807,2,0.934
206608219,0.99,1.08097,13.2872,4.36607,5585.0,-0.08430377784837373,1.0247791600910003,1.0568035088438457,2,0.893
354606314,0.83,0.757936,10.5395,4.59788,5008.0,-0.08430377784837373,1.0247791600910003,1.0568035088438457,2,0.66
434102743,1.34,1.0518,13.1505,4.52131,6516.0,6.413831692032229,8.952551477170994,2.5179051029543515,2,0.369
49619817,0.87,0.872278,12.8489,4.49628,5167.0,5.129306380227305,7.2854436835203265,2.9027939676526344,2,0.411
9054016,0.85,0.833007,13.3556,4.52619,5077.0,4.985320173687363,9.982032341784787,3.2753543621481214,2,0.459
212958207,0.86,1.07395,13.5865,4.3106,5098.0,1.5759215119002992,9.37031484257871,2.4157842953523208,3,0.15
13912543,1.26,1.65511,13.1209,4.10078,6356.0,-0.5510252212005552,2.4784375929414093,4.3566285813423224,5,0.889
161613185,0.96,1.02282,13.2981,4.40074,5499.8,-0.44457115375083633,2.4782533270550915,4.3563046764640285,5,0.901
303677755,nan,10.1125,12.7008,nan,4624.0,5.887481470268915,8.351428094204108,2.5445757474528037,5,0.459
146550447,1.01,1.90831,13.3489,3.88109,5676.0,1.262967756069064,2.596391016487083,4.198851096975204,7,0.886
270092094,1.01,0.950472,13.4261,4.48651,5688.0,4.8225151719808235,7.609770945894529,3.0320181112548497,7,0.556
322900476,0.705,0.695837,13.0271,4.60124,4491.0,-0.8792068684747376,0.22246792568681412,1.1053875057563576,7,0.548
35161864,1.8,1.62716,12.8369,4.27048,7668.0,-0.8434331312414807,0.22236404106619112,1.0214848136478156,7,0.399
35295713,1.06,3.18507,11.9951,3.45714,5875.0,-0.7914014790553794,0.22238926126735192,1.037237413879758,7,0.328
35482313,1.16,2.34289,13.5222,3.76302,6121.0,-0.9092947083275862,0.22247238005401632,1.1106238348009096,7,0.661
35638816,nan,7.96955,11.8289,nan,4709.0,-0.9092947083275862,0.22247238005401632,1.1106238348009096,7,0.728
369465317,nan,13.2752,13.5084,nan,4481.0,-0.973284019078842,0.22241597124606324,1.021723367911603,7,0.297
61404849,nan,6.65565,12.9081,nan,5016.0,-0.8890911776974416,0.22246941045606228,1.1106090100111234,7,0.309
61588420,1.49,1.57422,13.2284,4.21712,6872.0,-0.7708476747211979,0.2224189394175293,1.0217370029492747,7,0.27
78668734,1.54,3.59445,12.2978,3.51432,6991.0,-0.9092947083275862,0.22247238005401632,1.1106238348009096,7,0.618
78748290,nan,15.3229,13.4949,nan,4625.0,-0.8269630957492247,0.22246050213784546,1.1105645380162754,7,0.586
78902024,nan,27.541,12.7589,nan,4301.0,-0.9480037973944844,0.22231361782065961,1.109831263964074,7,0.415
