# Time (BTJD),Normalized SAP_FLUX,Normalized SAP_BKG
0.0,0.9960497411957476,0
0.020833334,0.998211363243172,0
0.041666668,0.9990998300781939,0
0.0625,0.9981437715759967,0
0.083333336,0.9984434637299273,0
0.104166664,0.9997031482926104,0
0.125,1.0000175031891558,0
0.14583333,0.9978195223084185,0
0.16666667,1.0004018339386676,0
0.1875,0.9997970852127764,0
0.20833333,0.9992240461579058,0
0.22916667,0.9992188009491656,0
0.25,1.0001405271759722,0
0.27083334,1.0008157285919879,0
0.29166666,1.0006825718155596,0
0.3125,0.9993490967026446,0
0.33333334,0.9991788658371661,0
0.35416666,0.9992029461136553,0
0.375,0.998236039566109,0
0.39583334,1.0000349077454302,0
0.41666666,0.9981119426956866,0
0.4375,0.9975516590347979,0
0.45833334,0.9972401651612017,0
0.47916666,0.9974479469528887,0
0.5,1.0010009798279498,0
0.5208333,0.9999661239853594,0
0.5416667,0.9974796566239092,0
0.5625,0.9989700111618731,0
0.5833333,0.9997013601532672,0
0.6041667,1.0008812937012408,0
0.625,1.0013505014649127,0
0.6458333,0.9988174232712481,0
0.6666667,1.0002474579086993,0
0.6875,0.9996688160172198,0
0.7083333,0.9996362718811724,0
0.7291667,1.0019349846115801,0
0.75,1.0008580478897784,0
0.7708333,1.0005302223435137,0
0.7916667,1.0002567562332842,0
0.8125,0.9975530895462725,0
0.8333333,0.9983595403900836,0
0.8541667,0.9985086712113116,0
0.875,0.9996688160172198,0
0.8958333,0.9989146980515216,0
0.9166667,0.9996688160172198,0
0.9375,0.9972461256256793,0
0.9583333,1.0005613359680865,0
0.9791667,0.9997664484253619,0
1.0,0.9981249365082476,0
1.0208334,0.999270180152962,0
1.0416666,1.00069306223304,0
1.0625,1.0012424978485797,0
1.0833334,1.0003055128327105,0
1.1041666,1.0002152714005206,0
1.125,0.9985464605560992,0
1.1458334,0.9986209663620684,0
1.1666666,0.9992321523895953,0
1.1875,1.001705745147774,0
1.2083334,0.9994774851074908,0
1.2291666,0.999533155845711,0
1.25,0.999624708580086,0
1.2708334,0.9991608652344439,0
1.2916666,0.998635152267525,0
1.3125,1.0005428585282061,0
1.3333334,0.9999018701782916,0
1.3541666,0.9984327348938677,0
1.375,1.0003862175217364,0
1.3958334,0.9991396459809039,0
1.4166666,1.0004728826752398,0
1.4375,0.9992881807556842,0
1.4583334,0.9989707264176104,0
1.4791666,1.0011446270218585,0
1.5,0.9996688160172198,0
1.5208334,0.9986482652893756,0
1.5416666,1.000430086540291,0
1.5625,0.9994380268326495,0
1.5833334,0.9985466989746783,0
1.6041666,0.999676206993172,0
1.625,0.9999670776596759,0
1.6458334,0.9995277914276812,0
1.6666666,1.0009281429520342,0
1.6875,0.9989800247421954,0
1.7083334,1.0001423153153155,0
1.7291666,1.0002946647873614,0
1.75,1.000620106147835,0
1.7708334,0.9994125160446856,0
1.7916666,0.9995988401642535,0
1.8125,1.0013177189102862,0
1.8333334,1.001179793762276,0
1.8541666,0.9988870414963458,0
1.875,0.9988951477280352,0
1.8958334,1.0003671440354083,0
1.9166666,0.9995008501282427,0
1.9375,0.9989318641892169,0
1.9583334,0.998913267540047,0
1.9791666,0.9992666038742755,0
2.0,0.9981342348328326,0
2.0208333,0.9998193773499224,0
2.0416667,0.9987941774597857,0
2.0625,1.000468591140816,0
2.0833333,0.9999080690613482,0
2.1041667,0.9988356622925494,0
2.125,0.9997523817291949,0
2.1458333,0.9997774156800006,0
2.1666667,0.9982120784989092,0
2.1875,1.0005384477844927,0
2.2083333,0.9976771864166949,0
2.2291667,0.9999676737061236,0
2.25,1.0002084764710162,0
2.2708333,1.0006783994904254,0
2.2916667,0.9987631830445025,0
2.3125,0.9996688160172198,0
2.3333333,0.9997774156800006,0
2.3541667,1.0003464016190264,0
2.375,0.9994597229233477,0
2.3958333,1.0010100397339556,0
2.4166667,1.0003039631119464,0
2.4375,0.9983894619217608,0
2.4583333,0.9992568287125323,0
2.4791667,1.0010427626839373,0
2.5,1.0014639291039202,0
2.5208333,0.9995587858429644,0
2.5416667,0.9995546135178301,0
2.5625,0.9989988598099444,0
2.5833333,0.9985255989304278,0
2.6041667,0.9994845184555743,0
2.625,1.1551233920326922,0
2.6458333,1.1543513330689166,0
2.6666667,1.0000499281159136,0
2.6875,0.9986300262680743,0
2.7083333,1.0003022345772479,0
2.7291667,1.000333765434334,0
2.75,0.999618867324898,0
2.7708333,1.0005888733139727,0
2.7916667,0.9993444475403521,0
2.8125,1.000637093471596,0
2.8333333,1.00156615106971,0
2.8541667,0.9986469539871905,0
2.875,0.9991811904183123,0
2.8958333,0.9978138002625201,0
2.9166667,0.9984048399201129,0
2.9375,1.0007038506737445,0
2.9583333,0.9981076511612628,0
2.9791667,0.9986332449188922,0
3.0,1.0000685247650836,0
3.0208333,0.9994089397659991,0
3.0416667,0.9996907505264971,0
3.0625,0.9987536463013384,0
3.0833333,0.9997696670761798,0
3.1041667,0.9995224270096514,0
3.125,0.9987048897019122,0
3.1458333,0.9995068701973651,0
3.1666667,1.000684598373482,0
3.1875,0.9997087511292193,0
3.2083333,1.0003044995537493,0
3.2291667,1.0002785119286273,0
3.25,0.9980591925850604,0
3.2708333,1.0006989630928729,0
3.2916667,0.9989877137413714,0
3.3125,1.0001915487519,0
3.3333333,0.9998333844414447,0
3.3541667,0.9976589473953936,0
3.375,1.0008544716110919,0
3.3958333,1.0019555482140277,0
3.4166667,0.9994740876427386,0
3.4375,0.9999015721550677,0
3.4583333,1.0017398390045855,0
3.4791667,1.0015418323746417,0
3.5,0.9996688160172198,0
3.5208333,0.9990300926438067,0
3.5416667,0.9987646731606219,0
3.5625,0.9999586734047625,0
3.5833333,0.9983001741638873,0
3.6041667,1.0005672368279193,0
3.625,0.9983511361351702,0
3.6458333,0.9990369471779559,0
3.6666667,1.0005180629959796,0
3.6875,1.0011486801377032,0
3.7083333,0.9985843095055316,0
3.7291667,1.000188330101082,0
3.75,0.9988902005425189,0
3.7708333,1.0002724322548602,0
3.7916667,1.000093081878731,0
3.8125,0.9995795282593463,0
3.8333333,0.9985375794640277,0
3.8541667,0.9988208207360003,0
3.875,0.9995590242615435,0
3.8958333,1.00122515289695,0
3.9166667,0.998820641922066,0
3.9375,1.0017053279152606,0
3.9583333,1.0001892837753985,0
3.9791667,0.9995521101227496,0
4.0,1.0004292520752642,0
4.0208335,0.9979742559662554,0
4.0416665,0.9987684282532427,0
4.0625,0.9982138070336077,0
4.0833335,1.0000375899544451,0
4.1041665,1.001707056449959,0
4.125,1.000232914375374,0
4.1458335,0.9993064197769854,0
4.1666665,0.999166408466408,0
4.1875,0.9986402186623309,0
4.2083335,0.9983318838349078,0
4.2291665,1.00017032949836,0
4.25,0.999001363205025,0
4.2708335,0.9995512756577227,0
4.2916665,0.9994175824394915,0
4.3125,1.0002164038887713,0
4.3333335,1.0001858863106463,0
4.3541665,1.0013046058884356,0
4.375,0.9999215993157122,0
4.3958335,1.000106612133095,0
4.4166665,1.001124838279793,0
4.4375,0.9998671802750323,0
4.4583335,0.9977037104836199,0
4.4791665,0.9999450835457537,0
4.5,1.001557687210152,0
4.5208335,0.9990306886902545,0
4.5416665,0.9998793992272113,0
4.5625,0.9995254072418902,0
4.5833335,0.9994478019943926,0
4.6041665,0.9972981008759234,0
4.625,0.9991735610237811,0
4.6458335,0.9984342846146319,0
4.6666665,1.0004583987465594,0
4.6875,0.9998386892548297,0
4.7083335,0.9989807996025775,0
4.7291665,0.99729369013221,0
4.75,0.9996732267609332,0
4.7708335,1.002014377998421,0
4.7916665,1.0003915819397662,0
